embedding_dim,hidden_layers,final_train_loss,final_test_loss,rmse,mae,training_time,num_params
32,[32],0.6982,0.761,0.8723,0.6681,10.4,94241
32,[64],0.6824,0.7591,0.8712,0.6662,11.2,96353
32,"[64, 32]",0.6895,0.7597,0.8716,0.6666,11.7,98401
32,"[128, 64]",0.6701,0.7569,0.87,0.6644,13.0,108769
32,"[128, 64, 32]",0.6759,0.7576,0.8704,0.666,14.1,110817
32,"[256, 128, 64]",0.6527,0.7653,0.8748,0.6725,17.3,149985
