embedding_dim,hidden_layers,final_train_loss,final_test_loss,rmse,mae,training_time,num_params
32,"[64, 32]",0.7818,0.8024,0.8958,0.6905,5.8,98401
32,"[64, 32]",0.6873,0.7611,0.8724,0.6666,12.0,98401
32,"[64, 32]",0.6437,0.7432,0.8621,0.6563,17.4,98401
32,"[64, 32]",0.6178,0.7463,0.8639,0.662,23.6,98401
